Date,BKR,COP,CVX,DVN,ENPH,EOG,ET,FANG,HAL,KMI,MPC,OKE,OXY,PSX,SLB,VLO,WMB,XOM
2010-11-15,24.42058753967285,28.471458435058594,46.515724182128906,46.37040710449219,7.340000152587891,33.004234313964844,3.3734045028686523,13.62574577331543,27.922344207763672,15.247258186340332,12.352261543273926,10.148063659667969,54.561119079589844,21.66858673095703,51.6447639465332,10.82865047454834,8.643157005310059,40.001136779785156
2010-11-16,24.155534744262695,27.953140258789062,45.5980110168457,45.727725982666016,7.340000152587891,32.511478424072266,3.2945003509521484,13.62574577331543,27.291288375854492,15.247258186340332,12.352261543273926,9.858898162841797,52.9569091796875,21.66858673095703,50.86626434326172,10.407044410705566,8.593942642211914,39.12711715698242
2010-11-17,24.40019989013672,27.89350700378418,45.586944580078125,45.66929244995117,7.340000152587891,32.19725036621094,3.2851674556732178,13.62574577331543,27.657466888427734,15.247258186340332,12.352261543273926,9.837409019470215,53.2553825378418,21.66858673095703,51.71426773071289,10.595654487609863,8.76809310913086,39.166831970214844
2010-11-18,25.429828643798828,28.324687957763672,46.33882141113281,46.69499588012695,7.340000152587891,32.88996505737305,3.295348644256592,13.62574577331543,29.262374877929688,15.247258186340332,12.352261543273926,9.897974967956543,54.29375457763672,21.66858673095703,52.47886276245117,10.961787223815918,8.893027305603027,39.9046516418457
2010-11-19,25.567455291748047,28.402667999267578,46.405155181884766,47.51943588256836,7.340000152587891,33.193477630615234,3.319103717803955,13.62574577331543,29.612966537475586,15.247258186340332,12.352261543273926,9.93704891204834,54.834693908691406,21.66858673095703,53.125274658203125,10.856388092041016,8.900594711303711,40.03519821166992
2010-11-22,25.470605850219727,28.20542335510254,46.1342658996582,47.006595611572266,7.340000152587891,33.029232025146484,3.363222122192383,13.62574577331543,29.06760025024414,15.247258186340332,12.352261543273926,10.036698341369629,55.008792877197266,21.66858673095703,53.10443115234375,10.922953605651855,8.862736701965332,39.8365592956543
2010-11-23,25.174968719482422,27.760478973388672,45.19444274902344,46.006874084472656,7.340000152587891,31.672353744506836,3.3589818477630615,13.62574577331543,28.40538787841797,15.247258186340332,12.352261543273926,9.964408874511719,54.76630401611328,21.66858673095703,52.43714904785156,10.739888191223145,8.688590049743652,39.14981460571289
2010-11-24,25.84270668029785,28.187088012695312,45.846797943115234,46.55865478515625,7.340000152587891,32.065128326416016,3.3683125972747803,13.62574577331543,29.114351272583008,15.247258186340332,12.352261543273926,10.101173400878906,55.30101013183594,21.66858673095703,53.62574768066406,11.006165504455566,8.809737205505371,39.66059875488281
2010-11-26,25.389062881469727,27.89350700378418,45.36029815673828,46.05230712890625,7.340000152587891,31.75090217590332,3.3598289489746094,13.62574577331543,28.48328399658203,15.247258186340332,12.352261543273926,10.003483772277832,54.498939514160156,21.66858673095703,52.812503814697266,10.850837707519531,8.669660568237305,39.29169464111328
2010-11-29,25.883480072021484,27.833877563476562,45.16127395629883,45.74070739746094,7.340000152587891,31.858009338378906,3.355586290359497,13.62574577331543,29.50388526916504,15.247258186340332,12.352261543273926,9.983943939208984,55.325889587402344,21.66858673095703,53.66983413696289,10.856388092041016,8.654515266418457,39.41655731201172
2010-11-30,26.58688735961914,27.59994125366211,44.76322937011719,45.81210708618164,7.340000152587891,31.761621475219727,3.3564367294311523,13.62574577331543,29.48051643371582,15.247258186340332,12.352261543273926,9.985896110534668,54.822261810302734,21.66858673095703,53.90679168701172,10.8064603805542,8.63558578491211,39.4789924621582
2010-12-01,27.433025360107422,28.645767211914062,45.719642639160156,46.74693298339844,7.340000152587891,32.71856689453125,3.386979818344116,13.62574577331543,30.605072021484375,15.247258186340332,12.352261543273926,10.050374984741211,56.11555099487305,21.66858673095703,56.35330581665039,11.183683395385742,8.832454681396484,40.48355484008789
2010-12-02,27.774534225463867,29.219161987304688,46.714744567871094,47.66875076293945,7.340000152587891,33.51484298706055,3.3615262508392334,13.62574577331543,31.714014053344727,15.247258186340332,12.352261543273926,10.259428977966309,56.420223236083984,21.66858673095703,56.2766227722168,11.499893188476562,8.999032020568848,40.56870651245117
2010-12-03,28.065078735351562,29.320070266723633,46.93035125732422,47.980350494384766,7.340000152587891,33.47198486328125,3.3394672870635986,13.62574577331543,32.1357307434082,15.247258186340332,12.352261543273926,10.351259231567383,57.04199981689453,21.66858673095703,57.67064666748047,11.694053649902344,8.980100631713867,40.404109954833984
2010-12-06,28.243480682373047,29.43931770324707,46.96352767944336,47.99333572387695,7.340000152587891,33.70051574707031,3.3335282802581787,13.62574577331543,31.878005981445312,15.247258186340332,12.352261543273926,10.404013633728027,57.85652542114258,21.66858673095703,57.754310607910156,11.638580322265625,9.059602737426758,40.47220993041992
2010-12-07,27.10680389404297,29.526485443115234,47.70985794067383,47.8310432434082,7.340000152587891,33.10420608520508,3.32589054107666,13.62574577331543,31.534399032592773,15.247258186340332,12.352261543273926,10.427458763122559,57.651344299316406,21.66858673095703,56.45783996582031,11.782808303833008,8.946029663085938,40.557334899902344
2010-12-08,27.234241485595703,29.63656234741211,47.62138366699219,47.50644302368164,7.340000152587891,32.92211151123047,3.3182554244995117,13.62574577331543,31.417251586914062,15.247258186340332,12.352261543273926,10.536871910095215,56.746055603027344,21.66858673095703,56.38815689086914,11.699599266052246,8.94032096862793,40.7786865234375
